OpenJDK 64-Bit Server VM (25.412-b1) for windows-amd64 JRE (1.8.0_412-b1), built on Apr 23 2024 12:00:37 by "Administrator" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16485540k(8761460k free), swap 28358524k(12358588k free)
CommandLine flags: -XX:ActiveProcessorCount=8 -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
851.508: [GC (Allocation Failure) [PSYoungGen: 1552223K->562495K(1864192K)] 5530855K->4671255K(7456768K), 0.1839227 secs] [Times: user=1.45 sys=0.05, real=0.18 secs] 
861.453: [GC (Allocation Failure) [PSYoungGen: 1494847K->489055K(1864192K)] 5603607K->4740101K(7456768K), 0.1820442 secs] [Times: user=1.33 sys=0.06, real=0.18 secs] 
871.365: [GC (Allocation Failure) [PSYoungGen: 1421407K->555135K(1898496K)] 5672453K->4806181K(7491072K), 0.1692145 secs] [Times: user=1.31 sys=0.00, real=0.17 secs] 
881.732: [GC (Allocation Failure) [PSYoungGen: 1527423K->625119K(1869824K)] 5778469K->4876165K(7462400K), 0.1519160 secs] [Times: user=1.23 sys=0.00, real=0.15 secs] 
892.003: [GC (Allocation Failure) [PSYoungGen: 1597407K->694591K(1853952K)] 5848453K->4945637K(7446528K), 0.1711767 secs] [Times: user=1.17 sys=0.00, real=0.17 secs] 
901.903: [GC (Allocation Failure) [PSYoungGen: 1651519K->758719K(1715712K)] 5902565K->5009765K(7308288K), 0.1684699 secs] [Times: user=1.30 sys=0.00, real=0.17 secs] 
912.243: [GC (Allocation Failure) [PSYoungGen: 1715647K->677887K(1864192K)] 5966693K->5085957K(7456768K), 0.2078220 secs] [Times: user=1.45 sys=0.16, real=0.21 secs] 
922.081: [GC (Allocation Failure) [PSYoungGen: 1610239K->609279K(1864192K)] 6018309K->5156632K(7456768K), 0.1946502 secs] [Times: user=1.38 sys=0.11, real=0.19 secs] 
932.049: [GC (Allocation Failure) [PSYoungGen: 1541631K->676607K(1865728K)] 6088984K->5223960K(7458304K), 0.1679890 secs] [Times: user=1.25 sys=0.00, real=0.17 secs] 
942.801: [GC (Allocation Failure) [PSYoungGen: 1611007K->731135K(1665536K)] 6158360K->5278488K(7258112K), 0.2808389 secs] [Times: user=1.84 sys=0.00, real=0.28 secs] 
953.241: [GC (Allocation Failure) [PSYoungGen: 1665535K->664479K(1864192K)] 6212888K->5351517K(7456768K), 0.1906401 secs] [Times: user=1.47 sys=0.03, real=0.19 secs] 
963.102: [GC (Allocation Failure) [PSYoungGen: 1596831K->595775K(1864192K)] 6283869K->5417376K(7456768K), 0.2065126 secs] [Times: user=1.58 sys=0.05, real=0.21 secs] 
975.281: [GC (Allocation Failure) [PSYoungGen: 1528127K->656415K(1903616K)] 6349728K->5478016K(7496192K), 0.1822309 secs] [Times: user=1.39 sys=0.00, real=0.18 secs] 
987.168: [GC (Allocation Failure) [PSYoungGen: 1654815K->723839K(1890816K)] 6476416K->5545440K(7483392K), 0.2071977 secs] [Times: user=1.52 sys=0.01, real=0.21 secs] 
998.605: [GC (Allocation Failure) [PSYoungGen: 1722239K->787711K(1836544K)] 6543840K->5609312K(7429120K), 0.2101983 secs] [Times: user=1.52 sys=0.02, real=0.21 secs] 
1008.625: [GC (Allocation Failure) [PSYoungGen: 1720063K->710911K(1864192K)] 6541664K->5679196K(7456768K), 0.2243050 secs] [Times: user=1.52 sys=0.33, real=0.22 secs] 
1021.121: [GC (Allocation Failure) [PSYoungGen: 1643263K->769887K(1864192K)] 6611548K->5738172K(7456768K), 0.1904247 secs] [Times: user=1.41 sys=0.00, real=0.19 secs] 
